iter	RMSE
0	2.067129552
1	1.973844726
2	1.882800018
3	1.799335113
4	1.719235221
5	1.644184544
6	1.573480016
7	1.505422778
8	1.44240164
9	1.382680567
10	1.325482969
11	1.270549875
12	1.219014256
13	1.170838471
14	1.124379676
15	1.081460847
16	1.040552886
17	0.9987131583
18	0.9627264698
19	0.9252188836
20	0.8900343699
21	0.8596854761
22	0.8308240258
23	0.8040027621
24	0.7787295411
25	0.7546145525
26	0.728931766
27	0.7078874257
28	0.6880763824
29	0.6696753217
30	0.6498731629
31	0.6333521545
32	0.6135436727
33	0.5992498323
34	0.582270886
35	0.5656618122
36	0.5537730886
37	0.5424410326
38	0.5290858249
39	0.5190363801
40	0.5063261485
41	0.4945404718
42	0.483684701
43	0.475649506
44	0.4683536015
45	0.4618801802
46	0.4560033747
47	0.450342352
48	0.4447349275
49	0.4393112607
50	0.4344762515
51	0.4278258375
52	0.4216827393
53	0.4173749814
54	0.4134242034
55	0.4096684964
56	0.4063014002
57	0.4029408859
58	0.400040056
59	0.3953926599
60	0.3925785714
61	0.3876896162
62	0.3851306761
63	0.3829815711
64	0.3787058925
65	0.3765731969
66	0.3747055485
67	0.3727945907
68	0.3706193884
69	0.3687491898
70	0.3653154905
71	0.3638742813
72	0.3608688674
73	0.3593774675
74	0.3579047512
75	0.3565565273
76	0.3554377835
77	0.3529990857
78	0.3520246723
79	0.3493905782
80	0.3470841207
81	0.34498341
82	0.344002553
83	0.3420908973
84	0.3409154012
85	0.34005691
86	0.3393624868
87	0.3376781812
88	0.336165169
89	0.3351718645
90	0.3336841784
91	0.3330123463
92	0.3318030826
93	0.3307356014
94	0.3297709668
95	0.3285613475
96	0.3277472615
97	0.3264612525
98	0.3256594656
99	0.3247545349
100	0.323647861
101	0.322925455
102	0.3219590762
103	0.3208992238
104	0.3202392203
105	0.3195239801
106	0.3186352271
107	0.3181246627
108	0.3172522347
109	0.3166992888
110	0.316095258
111	0.3157025616
112	0.3151615118
113	0.3144559927
114	0.3138940852
115	0.3124056636
116	0.3121135223
117	0.3115635227
118	0.3112135212
119	0.3106763052
120	0.3100361723
121	0.3096223568
122	0.3090422621
123	0.3085917805
124	0.3082238754
125	0.3078861264
126	0.3075692876
127	0.3073038127
128	0.30672907
129	0.3063093291
130	0.3060015566
131	0.3052582993
132	0.3049318785
133	0.3047340253
134	0.3043154588
135	0.3040247685
136	0.303712954
137	0.3024973909
138	0.3021800541
139	0.3019761427
140	0.3016482523
141	0.301402461
142	0.3011313264
143	0.3009205073
144	0.3006148022
145	0.3004040693
146	0.3001222535
147	0.2994629582
148	0.2991627669
149	0.2985557087
150	0.2982539912
151	0.2980825437
152	0.2977894222
153	0.2974695902
154	0.2971348391
155	0.2969394207
156	0.2965147334
157	0.296354294
158	0.296121882
159	0.2955677738
160	0.2951466503
161	0.2945255217
162	0.2941665984
163	0.2937456376
164	0.2932332439
165	0.2931078679
166	0.2929552744
167	0.2927947693
168	0.2926896554
169	0.292589883
170	0.2922967042
171	0.2920748676
172	0.2917549334
173	0.2915115926
174	0.2914075037
175	0.2913061627
176	0.291192399
177	0.2909411675
178	0.2908500725
179	0.2907742436
180	0.2898411229
181	0.2889395206
182	0.2885725987
183	0.2878548756
184	0.2877296674
185	0.2875768677
186	0.2874628154
187	0.2872469374
188	0.2870520057
189	0.2867747793
190	0.2863940538
191	0.2862140657
192	0.2860526342
193	0.2858411826
194	0.2857468137
195	0.2855788044
196	0.2852858024
